count_point_id,year,region_name,local_authority_name,road_name,road_type,latitude,longitude,all_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,all_hgvs
942762,2010,London,Lewisham,C,Minor,51.46772173,-0.00911289,3252,2679,76,397,35,3,20,58
38435,2002,London,Hackney,A1207,Major,51.54619351,-0.06893249,4909,3481,361,605,172,32,49,263
36808,2020,London,Greenwich,A210,Major,51.450804,0.05657315,5206,3538,688,795,62,5,2,78
16257,2000,London,Wandsworth,A24,Major,51.45034627,-0.14781929,13937,10331,248,2128,268,8,24,329
17637,2008,London,Camden,A4200,Major,51.51553691,-0.11923304,13576,8139,1383,2534,248,19,4,274
99748,2022,London,Hillingdon,A4180,Major,51.54395,-0.39783946,12447,9888,126,1879,142,30,219,437
930354,2007,London,Haringey,U,Minor,51.5781615,-0.11592712,4312,3434,162,600,36,3,1,41
74541,2010,London,Kensington and Chelsea,A3220,Major,51.50543071,-0.21720165,33603,26268,293,4885,884,88,109,1183
73564,2000,London,Hackney,A105,Major,51.56311516,-0.09187746,13625,11294,150,1334,291,9,7,312
7603,2019,London,Westminster,A3212,Major,51.497276,-0.12570444,8041,4553,414,1764,178,37,35,264
56099,2011,London,Southwark,A3,Major,51.49811414,-0.09833938,7830,4201,733,1308,291,36,29,371
26903,2013,London,Kingston upon Thames,A308,Major,51.41057951,-0.29466042,10242,7803,892,894,249,56,75,407
16753,2001,London,Lewisham,A212,Major,51.42629147,-0.07255321,18020,14593,340,2261,349,18,12,420
73321,2012,London,Lambeth,A23,Major,51.41854977,-0.12753159,8479,6656,212,1068,190,34,27,283
6013,2002,London,Hillingdon,M4,Major,51.49406703,-0.43272158,67713,56442,796,5887,2100,118,286,3775
73838,2020,London,Hounslow,A205,Major,51.488151,-0.28753311,10762,8178,227,1789,177,36,23,280
38440,2012,London,Southwark,A200,Major,51.50045787,-0.07662967,8532,5379,271,1594,366,17,24,436
38022,2018,London,Havering,M25,Major,51.589211,0.27070675,64433,40160,126,10976,2138,516,416,12872
8064,2017,London,Hackney,A102,Major,51.54892355,-0.03996994,9689,7252,347,1705,181,29,25,244
18170,2008,London,Camden,A40,Major,51.51576614,-0.12906759,9104,5308,51,1949,191,23,15,241
990334,2005,London,Sutton,U,Minor,51.37064197,-0.19198383,3678,3040,105,370,56,2,1,61
78356,2015,London,Barnet,A1,Major,51.62373647,-0.25446425,61851,47363,444,9883,1776,159,546,3306
36813,2003,London,Croydon,A213,Major,51.38658704,-0.0972177,5476,4360,111,803,105,9,7,138
36792,2000,London,Southwark,A200,Major,51.4985423,-0.06950656,22246,16754,538,3543,529,42,25,615
75403,2012,London,City of London,A1211,Major,51.51599938,-0.08116372,13464,9376,161,2127,427,53,40,537
6756,2009,London,Lewisham,A205,Major,51.44054611,-0.05900279,16452,12748,492,2070,362,27,69,588
36829,2009,London,Bromley,A223,Major,51.36534766,0.09354138,9044,7785,256,884,33,3,1,41
26809,2013,London,Bexley,A223,Major,51.43980739,0.15320735,12691,10725,132,1447,262,4,17,288
73902,2010,London,Waltham Forest,A104,Major,51.5978906,0.01195251,11317,9315,176,1347,234,69,22,365
56765,2020,London,Greenwich,A210,Major,51.450655,0.08535189,5472,4434,103,776,76,2,1,83
38441,2006,London,Southwark,A200,Major,51.50205632,-0.08088495,7589,4758,558,1185,255,30,26,326
91258,2019,London,Hillingdon,A4180,Major,51.59528,-0.44145446,12178,9518,150,1699,347,131,96,720
70189,2014,London,Islington,A400,Major,51.56408249,-0.13526574,5703,3647,579,916,177,17,23,241
70187,2003,London,Islington,A400,Major,51.56314944,-0.13313973,1899,1574,6,231,34,2,0,36
26432,2004,London,Westminster,A402,Major,51.51213309,-0.17125527,20621,16160,824,1937,359,54,19,464
26776,2009,London,Lewisham,A202,Major,51.47307111,-0.05186271,8577,5554,722,1242,342,65,32,645
56758,2019,London,Barnet,A406,Major,51.59387,-0.18558799,38424,28280,205,7331,1133,126,184,2001
36148,2001,London,Harrow,A5,Major,51.60878458,-0.27713416,12806,10703,601,1093,138,26,8,219
6754,2000,London,Greenwich,A205,Major,51.48902251,0.06693552,2514,2005,310,133,34,5,1,42
48557,2016,London,Lewisham,A2,Major,51.4750979,-0.04666429,12171,7992,702,1847,171,44,77,452
58165,2014,London,Southwark,A202,Major,51.47654647,-0.09923654,10041,6588,667,1787,264,46,35,372
29037,2005,London,Tower Hamlets,A1203,Major,51.50965417,-0.05843033,23969,16667,203,3337,852,122,174,1335
75397,2023,London,City of London,A3,Major,51.510513,-0.08672644,4291,1909,1597,81,28,1,1,32
48577,2000,London,Westminster,A301,Major,51.51058273,-0.11871652,29983,23624,1140,2344,592,26,10,632
8664,2017,London,Bexley,A221,Major,51.45731232,0.14510626,4860,3756,559,421,32,12,2,58
26102,2017,London,Bexley,A2,Major,51.45620729,0.08675651,38009,28314,288,7007,574,103,305,1451
7604,2020,London,Kensington and Chelsea,A3220,Major,51.481194,-0.17681373,17871,12165,208,3961,258,53,95,497
942288,2008,London,Bromley,U,Minor,51.38930347,0.07948511,75,68,0,7,0,0,0,0
8494,2002,London,Wandsworth,A219,Major,51.44252343,-0.22339376,13872,11685,202,1344,212,17,10,276
6631,2006,London,Enfield,A105,Major,51.62053954,-0.10622699,9654,8164,342,830,189,7,2,210
71003,2003,London,Barking and Dagenham,A124,Major,51.5622241,0.15682161,8502,7089,225,966,86,16,1,124
27917,2004,London,Tower Hamlets,A12,Major,51.53164548,-0.0183642,49858,36342,247,9188,1584,67,402,2500
6756,2021,London,Lewisham,A205,Major,51.440544,-0.05900287,12654,9315,326,2317,192,31,51,340
26430,2021,London,City of London,A40,Major,51.517889,-0.10904666,13477,9001,946,2605,229,48,37,320
56628,2006,London,Waltham Forest,A104,Major,51.59164998,0.00878931,17168,14005,176,2266,414,41,48,547
17614,2009,London,Ealing,A4127,Major,51.51638453,-0.35513659,9817,8221,312,801,149,23,62,318
16866,2010,London,Hammersmith and Fulham,A315,Major,51.49383606,-0.21520506,9041,6881,545,933,142,10,1,163
58182,2016,London,Hounslow,A314,Major,51.44596907,-0.38382978,9458,7796,162,1107,188,16,12,278
7473,2011,London,Haringey,A1010,Major,51.5965402,-0.06824151,8290,6213,907,898,121,14,4,151
16258,2015,London,Merton,A219,Major,51.41507174,-0.19238859,11086,8709,181,1571,189,20,19,275
37646,2004,London,Southwark,A2208,Major,51.48925212,-0.05693487,11256,8059,265,1939,404,54,111,613
16838,2012,London,Merton,A298,Major,51.40782873,-0.21855595,9279,7748,132,954,186,32,20,275
26200,2014,London,Redbridge,A11,Major,51.57352502,0.01693755,12523,10467,238,1337,116,21,22,180
38463,2017,London,Southwark,A200,Major,51.49205857,-0.04723587,21904,17012,570,3285,221,68,83,415
17174,2010,London,Haringey,A504,Major,51.58525078,-0.08171185,6464,4911,256,1081,91,11,4,109
